width_ms,rep,t_ms,tau
2,18,58.182688,0.074215
2,18,60.188336,0.074215
2,18,62.167162,0.123691
2,19,1.050360,0.049477
2,19,2.700159,0.049477
2,19,4.995065,-0.024738
2,19,6.799293,-0.272121
2,19,8.794621,0.272121
2,19,10.717709,0.049477
2,19,12.971693,-0.123691
2,19,15.050563,-0.049477
2,19,16.985000,0.074215
2,19,19.037322,0.000000
2,19,21.046327,0.074215
2,19,23.036604,0.049477
2,19,25.055420,0.049477
2,19,27.051581,0.049477
2,19,29.035101,0.074215
2,19,31.007557,0.123691
2,19,33.036165,0.049477
2,19,35.086182,0.024738
2,19,37.022668,0.049477
2,19,39.024553,0.074215
2,19,41.045762,0.123691
2,19,43.005590,0.024738
2,19,45.107928,0.123691
2,19,47.004931,0.123691
2,19,48.952046,0.024738
2,19,50.965038,0.148430
2,19,53.084638,0.049477
2,19,54.998089,0.049477
2,19,57.033558,0.074215
2,19,58.992200,0.074215
2,19,60.899297,0.049477
5,0,0.098402,0.074215
5,0,2.071127,0.123691
5,0,4.097210,0.123691
5,0,6.076940,0.123691
5,0,8.117033,0.123691
5,0,10.100433,0.074215
5,0,12.102652,0.074215
5,0,14.107264,0.000000
5,0,15.895117,0.049477
5,0,18.100583,0.074215
5,0,20.147268,0.123691
5,0,21.807509,0.049477
5,0,23.763759,0.123691
5,0,25.905957,0.049477
5,0,27.874298,0.123691
5,0,30.131719,0.049477
5,0,32.152356,0.049477
5,0,34.139239,0.049477
5,0,35.976217,0.123691
5,0,38.182230,0.049477
5,0,40.112042,0.123691
5,0,42.216545,0.049477
5,0,43.958212,0.074215
5,0,46.092685,0.074215
5,0,47.886164,0.148430
5,0,49.923131,0.074215
5,0,51.874594,0.024738
5,0,53.875451,0.123691
5,0,55.859842,0.000000
5,0,58.064949,0.074215
5,0,59.845499,0.049477
5,0,62.058091,0.074215
5,0,63.968027,0.074215
5,0,66.094595,0.074215
5,1,0.468184,0.074215
5,1,2.364387,0.074215
5,1,4.389601,0.049477
5,1,6.436914,0.000000
5,1,8.627842,-0.024738
