t_s,interval_ms,dropout
2.084678,2.306313,0
2.086681,2.002466,0
2.088686,2.005067,0
2.090817,2.131453,0
2.092667,1.849944,0
2.094596,1.928974,0
2.096558,1.962054,0
2.098447,1.889201,0
2.100675,2.227372,0
2.102482,1.806949,0
2.104664,2.181988,0
2.106774,2.109953,0
2.108584,1.809988,0
2.110776,2.192231,0
2.112627,1.851481,0
2.114632,2.004489,0
2.116795,2.163297,0
2.118686,1.890600,0
2.120644,1.958418,0
2.122743,2.099084,0
2.124819,2.076081,0
2.126595,1.776295,0
2.128797,2.201127,0
2.130480,1.683284,0
2.132735,2.255238,0
2.134677,1.941867,0
2.136674,1.996628,0
2.138649,1.975809,0
2.140673,2.023181,0
2.142481,1.808773,0
2.144583,2.101368,0
2.146541,1.957856,0
2.148576,2.035555,0
2.150657,2.080478,0
2.152693,2.036575,0
2.154774,2.080682,0
2.156771,1.996623,0
2.158639,1.868724,0
2.160806,2.166541,0
2.163118,2.311783,0
2.164638,1.520757,0
2.166772,2.133489,0
2.168590,1.818549,0
2.170611,2.020141,0
2.172658,2.047507,0
2.174813,2.155274,0
2.176626,1.812546,0
2.178827,2.201524,0
2.180639,1.811740,0
2.182823,2.183764,0
2.184791,1.968217,0
2.186686,1.894689,0
2.188610,1.924450,0
2.190789,2.179149,0
2.192604,1.815089,0
2.194600,1.995560,0
2.196561,1.961319,0
2.198687,2.125817,0
2.200679,1.991671,0
2.202844,2.165095,0
2.204581,1.737540,0
2.206594,2.012541,0
2.208608,2.014365,0
2.210682,2.073266,0
2.213065,2.383483,0
2.214808,1.742728,0
2.216665,1.857649,0
2.218814,2.148296,0
2.220795,1.980933,0
2.222590,1.795721,0
2.224669,2.078562,0
2.226597,1.928279,0
2.228608,2.010815,0
2.230596,1.988341,0
2.232642,2.045545,0
2.234632,1.989754,0
2.236585,1.953338,0
2.238707,2.122307,0
2.240711,2.003308,0
2.242585,1.874424,0
2.244812,2.227352,0
2.246601,1.788867,0
2.248659,2.057983,0
2.250591,1.931606,0
2.252644,2.053558,0
2.254776,2.131662,0
2.256770,1.993799,0
2.258592,1.821875,0
2.260663,2.070980,0
2.262429,1.766584,0
2.264775,2.345766,0
2.266591,1.815813,0
2.268782,2.191065,0
2.270576,1.794444,0
2.272463,1.886046,0
2.274787,2.324146,0
2.276568,1.781340,0
2.278671,2.102517,0
2.280796,2.125913,0
2.282615,1.818255,0
2.284781,2.166143,0
2.286636,1.855641,0
2.288796,2.159524,0
2.290600,1.804344,0
2.292623,2.022683,0
2.294588,1.964978,0
2.296552,1.963909,0
2.298659,2.107493,0
2.300677,2.017358,0
2.302612,1.935399,0
2.304559,1.946911,0
2.306558,1.998612,0
2.308660,2.101858,0
2.310809,2.149852,0
2.312997,2.187955,0
2.314629,1.631215,0
2.316669,2.040406,0
2.318804,2.134566,0
