t_sys,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
7417.111804979,-0.010652643,-0.010652643,-0.005326321,-0.781706870,0.408211380,9.356540680
7417.113914732,-0.003195793,-0.009587379,-0.004261057,-0.790086567,0.418985307,9.336189270
7417.115946137,-0.010652643,-0.008522115,-0.003195793,-0.790086567,0.418985307,9.336189270
7417.117777047,0.000000000,-0.005326321,0.005326321,-0.790086567,0.418985307,9.336189270
7417.119969697,-0.006391586,-0.010652643,0.013848436,-0.787692368,0.410605580,9.378087997
7417.121740737,-0.006391586,0.001065264,-0.005326321,-0.787692368,0.410605580,9.378087997
7417.123722119,-0.006391586,-0.006391586,0.003195793,-0.761356115,0.392649084,9.406818390
7417.125708076,-0.008522115,0.006391586,0.001065264,-0.761356115,0.392649084,9.406818390
7417.127709962,-0.004261057,-0.013848436,0.007456850,-0.761356115,0.392649084,9.406818390
7417.129797644,0.004261057,-0.010652643,-0.005326321,-0.787692368,0.385466486,9.342175484
7417.131714323,0.006391586,-0.002130529,0.002130529,-0.787692368,0.385466486,9.342175484
7417.133735077,-0.001065264,-0.009587379,-0.009587379,-0.811634362,0.414196908,9.326612473
7417.135687508,-0.012783172,-0.005326321,-0.009587379,-0.811634362,0.414196908,9.326612473
7417.137695440,0.003195793,-0.007456850,-0.005326321,-0.811634362,0.414196908,9.326612473
7417.139700463,0.001065264,-0.008522115,-0.006391586,-0.828393817,0.381875157,9.339780807
7417.141668202,-0.002130529,-0.008522115,-0.010652643,-0.828393817,0.381875157,9.339780807
7417.143693056,-0.013848436,-0.007456850,-0.007456850,-0.772130072,0.393846184,9.315838814
7417.145816460,0.001065264,-0.008522115,0.001065264,-0.772130072,0.393846184,9.315838814
7417.147697547,-0.002130529,0.003195793,0.009587379,-0.772130072,0.393846184,9.315838814
7417.149815588,-0.005326321,-0.018109493,-0.001065264,-0.793677866,0.399831682,9.362525940
7417.151746019,-0.008522115,-0.003195793,-0.006391586,-0.793677866,0.399831682,9.362525940
7417.153953683,-0.005326321,-0.010652643,-0.005326321,-0.822408259,0.372298360,9.370905876
7417.155709416,-0.011717907,-0.002130529,-0.004261057,-0.822408259,0.372298360,9.370905876
7417.157885243,-0.008522115,-0.007456850,0.007456850,-0.822408259,0.372298360,9.370905876
7417.159707918,0.000000000,-0.010652643,-0.002130529,-0.797269166,0.390254885,9.330204010
7417.161966307,-0.003195793,-0.009587379,-0.006391586,-0.797269166,0.390254885,9.330204010
7417.163656296,-0.002130529,-0.019174758,0.002130529,-0.811634362,0.401028782,9.362525940
7417.165675432,-0.002130529,0.001065264,0.005326321,-0.811634362,0.401028782,9.362525940
7417.167727900,-0.002130529,-0.014913701,-0.018109493,-0.811634362,0.401028782,9.362525940
7417.169963774,0.002130529,-0.005326321,-0.004261057,-0.790086567,0.390254885,9.311050415
7417.171732172,-0.006391586,-0.008522115,-0.008522115,-0.790086567,0.390254885,9.311050415
7417.173980466,-0.001065264,-0.004261057,-0.007456850,-0.778115571,0.399831682,9.342175484
7417.175764247,-0.007456850,-0.009587379,-0.009587379,-0.778115571,0.399831682,9.342175484
7417.177712903,-0.008522115,-0.020240022,0.000000000,-0.786495268,0.404620081,9.411606789
7417.179803483,-0.003195793,-0.010652643,-0.005326321,-0.786495268,0.404620081,9.411606789
7417.181787781,-0.009587379,-0.003195793,-0.001065264,-0.786495268,0.404620081,9.411606789
7417.183779746,0.007456850,-0.008522115,0.002130529,-0.785298169,0.391451985,9.375694275
7417.185764559,-0.002130529,-0.005326321,-0.002130529,-0.785298169,0.391451985,9.375694275
7417.187671663,-0.018109493,0.001065264,0.006391586,-0.782903969,0.409408480,9.343372345
7417.189730758,0.012783172,-0.006391586,-0.007456850,-0.782903969,0.409408480,9.343372345
7417.191655410,0.005326321,-0.010652643,0.003195793,-0.782903969,0.409408480,9.343372345
7417.193659846,-0.014913701,0.003195793,0.003195793,-0.778115571,0.414196908,9.369708061
7417.195645834,-0.011717907,0.002130529,0.006391586,-0.778115571,0.414196908,9.369708061
7417.197754131,-0.007456850,-0.001065264,0.001065264,-0.811634362,0.380678058,9.305065155
7417.199981995,-0.007456850,-0.001065264,-0.005326321,-0.811634362,0.380678058,9.305065155
7417.201750169,0.009587379,-0.012783172,0.000000000,-0.811634362,0.380678058,9.305065155
